"Haul","CL","nA","sfA","nB","sfB","qA","qB"
"D1H2",5,0,11.9154736329986,0,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",6,0,11.9154736329986,0,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",7,0,11.9154736329986,0,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",8,1,11.9154736329986,0,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",9,0,11.9154736329986,0,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",10,1,11.9154736329986,3,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",11,6,11.9154736329986,4,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",12,12,11.9154736329986,8,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",13,23,11.9154736329986,17,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",14,28,11.9154736329986,37,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",15,25,11.9154736329986,27,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",16,39,11.9154736329986,45,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",17,22,11.9154736329986,27,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",18,19,11.9154736329986,24,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",19,4,11.9154736329986,6,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",20,5,11.9154736329986,3,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",21,1,11.9154736329986,5,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",22,0,11.9154736329986,2,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",23,1,11.9154736329986,1,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",24,0,11.9154736329986,0,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H2",25,0,11.9154736329986,0,8.61415766964613,0.0839244859919465,0.116087961046234
"D1H6",5,0,10.9190865422507,0,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",6,0,10.9190865422507,0,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",7,0,10.9190865422507,0,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",8,0,10.9190865422507,0,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",9,1,10.9190865422507,1,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",10,3,10.9190865422507,6,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",11,10,10.9190865422507,10,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",12,25,10.9190865422507,23,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",13,40,10.9190865422507,20,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",14,30,10.9190865422507,40,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",15,27,10.9190865422507,30,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",16,24,10.9190865422507,36,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",17,23,10.9190865422507,35,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",18,15,10.9190865422507,10,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",19,5,10.9190865422507,10,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",20,9,10.9190865422507,5,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",21,1,10.9190865422507,2,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",22,0,10.9190865422507,0,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",23,0,10.9190865422507,0,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",24,0,10.9190865422507,0,8.21246937959545,0.091582752470233,0.12176605522385
"D1H6",25,0,10.9190865422507,0,8.21246937959545,0.091582752470233,0.12176605522385
"D2H4",5,0,5.67015874986625,0,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",6,0,5.67015874986625,0,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",7,0,5.67015874986625,0,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",8,0,5.67015874986625,1,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",9,3,5.67015874986625,0,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",10,1,5.67015874986625,3,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",11,9,5.67015874986625,1,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",12,35,5.67015874986625,14,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",13,35,5.67015874986625,17,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",14,47,5.67015874986625,22,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",15,42,5.67015874986625,20,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",16,27,5.67015874986625,34,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",17,36,5.67015874986625,20,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",18,22,5.67015874986625,15,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",19,11,5.67015874986625,14,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",20,6,5.67015874986625,4,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",21,1,5.67015874986625,2,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",22,1,5.67015874986625,1,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",23,0,5.67015874986625,0,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",24,0,5.67015874986625,0,7.57544095807518,0.176361905215368,0.132005516977072
"D2H4",25,0,5.67015874986625,0,7.57544095807518,0.176361905215368,0.132005516977072
"D2H5",5,0,5.66723217294229,0,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",6,0,5.66723217294229,0,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",7,0,5.66723217294229,0,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",8,0,5.66723217294229,0,4.92487097597426,0.176452979070526,0.203051004763059
