lgth,codend,cover,WtSch,qcodend,qcover,total,Haul
6,0,0,2.02,0.585,0.34,0,1
7,0,0,2.02,0.585,0.34,0,1
8,0,0,2.02,0.585,0.34,0,1
9,0,0,2.02,0.585,0.34,0,1
10,0,0,2.02,0.585,0.34,0,1
11,0,2,2.02,0.585,0.34,2,1
12,0,0,2.02,0.585,0.34,0,1
13,2,8,2.02,0.585,0.34,10,1
14,3,6,2.02,0.585,0.34,9,1
15,25,34,2.02,0.585,0.34,59,1
16,47,82,2.02,0.585,0.34,129,1
17,65,62,2.02,0.585,0.34,127,1
18,57,37,2.02,0.585,0.34,94,1
19,28,12,2.02,0.585,0.34,40,1
20,16,3,2.02,0.585,0.34,19,1
21,5,0,2.02,0.585,0.34,5,1
22,1,0,2.02,0.585,0.34,1,1
23,0,0,2.02,0.585,0.34,0,1
6,0,0,1.68,0.691,0.605,0,2
7,0,0,1.68,0.691,0.605,0,2
8,0,0,1.68,0.691,0.605,0,2
9,0,0,1.68,0.691,0.605,0,2
10,0,0,1.68,0.691,0.605,0,2
11,0,0,1.68,0.691,0.605,0,2
12,0,0,1.68,0.691,0.605,0,2
13,0,0,1.68,0.691,0.605,0,2
14,0,16,1.68,0.691,0.605,16,2
15,12,30,1.68,0.691,0.605,42,2
16,48,85,1.68,0.691,0.605,133,2
17,67,61,1.68,0.691,0.605,128,2
18,67,44,1.68,0.691,0.605,111,2
19,43,10,1.68,0.691,0.605,53,2
20,11,2,1.68,0.691,0.605,13,2
21,0,0,1.68,0.691,0.605,0,2
22,2,0,1.68,0.691,0.605,2,2
23,0,0,1.68,0.691,0.605,0,2
6,0,0,1.14,1,0.859,0,3
7,0,0,1.14,1,0.859,0,3
8,0,0,1.14,1,0.859,0,3
9,0,0,1.14,1,0.859,0,3
10,0,0,1.14,1,0.859,0,3
11,0,0,1.14,1,0.859,0,3
12,1,3,1.14,1,0.859,4,3
13,0,2,1.14,1,0.859,2,3
14,5,10,1.14,1,0.859,15,3
15,13,42,1.14,1,0.859,55,3
16,37,73,1.14,1,0.859,110,3
17,65,69,1.14,1,0.859,134,3
18,73,38,1.14,1,0.859,111,3
19,34,12,1.14,1,0.859,46,3
20,15,0,1.14,1,0.859,15,3
21,4,0,1.14,1,0.859,4,3
22,0,0,1.14,1,0.859,0,3
23,0,0,1.14,1,0.859,0,3
6,0,0,1.72,0.651,1,0,4
7,0,0,1.72,0.651,1,0,4
8,0,0,1.72,0.651,1,0,4
9,0,0,1.72,0.651,1,0,4
10,0,0,1.72,0.651,1,0,4
11,1,2,1.72,0.651,1,3,4
12,0,1,1.72,0.651,1,1,4
13,1,7,1.72,0.651,1,8,4
14,1,9,1.72,0.651,1,10,4
15,11,23,1.72,0.651,1,34,4
16,42,48,1.72,0.651,1,90,4
17,75,57,1.72,0.651,1,132,4
18,77,36,1.72,0.651,1,113,4
19,30,6,1.72,0.651,1,36,4
20,8,1,1.72,0.651,1,9,4
21,2,0,1.72,0.651,1,2,4
22,0,0,1.72,0.651,1,0,4
23,0,0,1.72,0.651,1,0,4
6,0,1,1.43,0.817,0.505,1,5
7,0,0,1.43,0.817,0.505,0,5
8,0,0,1.43,0.817,0.505,0,5
9,0,0,1.43,0.817,0.505,0,5
10,0,0,1.43,0.817,0.505,0,5
11,0,0,1.43,0.817,0.505,0,5
12,1,3,1.43,0.817,0.505,4,5
13,0,1,1.43,0.817,0.505,1,5
14,3,8,1.43,0.817,0.505,11,5
15,12,25,1.43,0.817,0.505,37,5
16,42,71,1.43,0.817,0.505,113,5
17,53,73,1.43,0.817,0.505,126,5
18,72,42,1.43,0.817,0.505,114,5
19,46,17,1.43,0.817,0.505,63,5
20,15,1,1.43,0.817,0.505,16,5
21,5,0,1.43,0.817,0.505,5,5
22,1,0,1.43,0.817,0.505,1,5
23,0,0,1.43,0.817,0.505,0,5
6,0,0,0.79,1,1,0,6
7,0,0,0.79,1,1,0,6
8,0,0,0.79,1,1,0,6
9,0,0,0.79,1,1,0,6
10,0,0,0.79,1,1,0,6
11,0,0,0.79,1,1,0,6
12,0,2,0.79,1,1,2,6
13,1,0,0.79,1,1,1,6
14,3,7,0.79,1,1,10,6
15,15,19,0.79,1,1,34,6
16,28,38,0.79,1,1,66,6
17,44,21,0.79,1,1,65,6
18,38,6,0.79,1,1,44,6
19,26,6,0.79,1,1,32,6
20,13,0,0.79,1,1,13,6
21,1,0,0.79,1,1,1,6
22,1,0,0.79,1,1,1,6
23,0,0,0.79,1,1,0,6
6,0,0,1.86,0.569,1,0,7
7,0,0,1.86,0.569,1,0,7
8,0,0,1.86,0.569,1,0,7
9,0,0,1.86,0.569,1,0,7
10,0,0,1.86,0.569,1,0,7
11,0,0,1.86,0.569,1,0,7
12,0,0,1.86,0.569,1,0,7
13,1,1,1.86,0.569,1,2,7
14,0,4,1.86,0.569,1,4,7
15,19,18,1.86,0.569,1,37,7
16,52,26,1.86,0.569,1,78,7
17,69,22,1.86,0.569,1,91,7
18,58,11,1.86,0.569,1,69,7
19,27,2,1.86,0.569,1,29,7
20,6,1,1.86,0.569,1,7,7
21,4,0,1.86,0.569,1,4,7
22,1,0,1.86,0.569,1,1,7
23,1,0,1.86,0.569,1,1,7
6,0,0,0.37,1,1,0,8
