"lgth","codend","control","PairID"
1,0,0,1
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,0,1
7,0,0,1
8,0,0,1
9,0,0,1
10,0,6,1
11,5,6,1
12,11,11,1
13,22,6,1
14,13,14,1
15,13,6,1
16,9,3,1
17,2,5,1
18,2,1,1
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,1
1,0,0,2
2,0,0,2
3,0,0,2
4,0,0,2
5,0,0,2
6,0,0,2
7,0,0,2
8,0,0,2
9,0,1,2
10,0,0,2
11,1,4,2
12,4,3,2
13,10,12,2
14,6,9,2
15,10,6,2
16,6,14,2
17,6,4,2
18,2,0,2
19,1,0,2
20,1,2,2
21,0,0,2
22,0,1,2
23,0,0,2
24,0,0,2
25,0,0,2
1,0,0,3
2,0,0,3
3,0,0,3
4,0,0,3
5,0,0,3
6,0,0,3
7,0,0,3
8,0,1,3
9,0,1,3
10,0,0,3
11,1,3,3
12,4,1,3
13,3,3,3
14,4,2,3
15,3,3,3
16,5,0,3
17,0,1,3
18,0,0,3
19,1,0,3
20,0,0,3
21,0,0,3
22,0,0,3
23,0,0,3
24,0,0,3
25,0,0,3
1,0,0,4
2,0,0,4
3,0,0,4
4,0,0,4
5,0,0,4
6,0,0,4
7,0,0,4
8,0,0,4
9,0,0,4
10,0,1,4
11,0,2,4
12,1,1,4
13,0,6,4
14,1,1,4
15,0,0,4
16,0,0,4
17,0,0,4
18,0,2,4
19,0,0,4
20,0,0,4
21,0,0,4
22,0,0,4
23,0,0,4
24,0,0,4
25,0,0,4
1,0,0,5
2,0,0,5
3,0,0,5
4,0,0,5
5,0,0,5
6,0,0,5
7,0,0,5
8,0,0,5
9,1,0,5
10,1,0,5
11,2,3,5
12,0,0,5
13,4,1,5
14,2,3,5
15,7,3,5
16,3,1,5
17,1,0,5
18,0,1,5
19,1,0,5
20,0,0,5
21,0,0,5
22,0,0,5
23,0,0,5
24,0,0,5
25,0,0,5
1,0,0,6
2,0,0,6
3,0,0,6
4,0,0,6
5,0,0,6
6,0,0,6
7,1,0,6
8,0,0,6
9,0,1,6
10,0,0,6
11,1,1,6
12,5,2,6
13,4,4,6
14,2,3,6
15,1,2,6
16,0,0,6
17,0,2,6
18,0,0,6
19,0,0,6
20,0,0,6
21,0,0,6
22,0,0,6
23,0,0,6
24,0,0,6
25,0,0,6
1,0,0,7
2,0,0,7
3,0,0,7
4,0,0,7
5,0,0,7
6,0,1,7
7,0,0,7
8,0,0,7
9,0,3,7
10,0,1,7
11,2,3,7
12,1,2,7
13,5,1,7
14,1,1,7
15,5,4,7
16,1,1,7
17,0,0,7
18,1,2,7
19,0,0,7
20,0,0,7
21,0,0,7
22,1,0,7
23,0,0,7
24,0,0,7
25,0,0,7
1,0,0,8
2,0,0,8
3,0,0,8
