lgth M9.83 M10.84 M11.94 M12.87 M13.97 M15.07
20   2   0   0   0   0   0
21   1   3   0   0   0   0
22  12   7   0   1   1   0
23  41   7   0   1   1   1
24  80  18  12   5   2   2
25 113  91  21   6   5   1
26 109 198  41  19   6   3
27 115 239  81  19  17   5
28  87 203 186  40  26  13
29  72 165 221  80  35  10
30  46  90 176 125  31  16
31  22  68 126 124  50  14
32  13  43  64  95  63  22
33   9  16  34  56  48  18
34  11  16  16  33  45  21
35   5  10  14  20  27  23
36   4   3  10  18  17  22
37   3   3   8  13  19  10
38   3   2   5   5   9  13
39   3   6   2   4   6   8
40   1   2   7   2   5   5
41   2   0   2   1   1   5
42   2   0   1   2   1   4
43   1   0   0   3   3   4
44   2   3   0   1   4   1
45   0   1   0   1   0   1
46   0   0   1   1   0   0
47   0   0   1   0   1   1
48   0   0   0   0   0   0
49   0   0   0   0   0   0
50   0   0   0   0   1   0
51   0   0   0   1   0   0
52   0   0   0   0   0   0
53   0   0   0   0   0   1
54   0   0   0   0   0   0
55   0   0   0   0   0   1
